X,Y,Secondary
0.5,0.5,0.9536399999999999
1.5,0.5,0.78269
2.5,0.5,0.89885
3.5,0.5,0.79879
4.5,0.5,0.96605
5.5,0.5,0.90975
6.5,0.5,0.9768100000000001
7.5,0.5,0.77518
8.5,0.5,1.01166
9.5,0.5,1.09801
10.5,0.5,1.33004
11.5,0.5,1.08487
12.5,0.5,0.7814800000000001
13.5,0.5,0.7199399999999999
14.5,0.5,0.7293
15.5,0.5,0.65983
16.5,0.5,0.68119
17.5,0.5,0.28672
18.5,0.5,0.30738000000000004
19.5,0.5,0.4624
20.5,0.5,0.40433
21.5,0.5,0.41826
22.5,0.5,0.26695
23.5,0.5,0.11754
24.5,0.5,-0.12514
25.5,0.5,-0.09324
26.5,0.5,-0.04947
27.5,0.5,0.06796
28.5,0.5,0.021
29.5,0.5,0.10711
30.5,0.5,0.13656
31.5,0.5,-0.18124
32.5,0.5,-0.30781
33.5,0.5,-0.27718000000000004
34.5,0.5,-0.0939
35.5,0.5,-0.20868
36.5,0.5,-0.32378
37.5,0.5,-0.31163
38.5,0.5,-0.13995
39.5,0.5,-0.14025
40.5,0.5,-0.30211
41.5,0.5,-0.5838800000000001
42.5,0.5,-0.34092
43.5,0.5,-0.31234
44.5,0.5,-0.34331999999999996
45.5,0.5,-0.28451
46.5,0.5,0.13479000000000002
47.5,0.5,0.027139999999999997
48.5,0.5,0.18184
49.5,0.5,0.43983999999999995
50.5,0.5,0.28513
51.5,0.5,0.26141
52.5,0.5,0.49226000000000003
53.5,0.5,-0.19873
54.5,0.5,0.06602999999999999
55.5,0.5,0.35474
56.5,0.5,0.92545
57.5,0.5,1.08012
58.5,0.5,0.9938799999999999
59.5,0.5,1.33336
60.5,0.5,1.2995
61.5,0.5,1.40543
62.5,0.5,1.70344
63.5,0.5,1.46217
64.5,0.5,1.6956900000000001
65.5,0.5,1.59245
66.5,0.5,1.59762
67.5,0.5,1.52934
68.5,0.5,1.61935
69.5,0.5,1.47806
70.5,0.5,1.90008
71.5,0.5,1.8559900000000003
72.5,0.5,1.79415
73.5,0.5,1.63311
74.5,0.5,1.3413700000000002
75.5,0.5,1.13749
76.5,0.5,1.1591
77.5,0.5,1.09748
78.5,0.5,0.89351
79.5,0.5,1.23817
80.5,0.5,1.41529
81.5,0.5,1.40406
82.5,0.5,1.25505
83.5,0.5,1.41097
84.5,0.5,1.48519
85.5,0.5,1.46117
86.5,0.5,1.7831700000000001
87.5,0.5,1.85945
88.5,0.5,2.2145900000000003
89.5,0.5,2.47063
90.5,0.5,2.51315
91.5,0.5,2.78167
92.5,0.5,2.47019
93.5,0.5,2.1793400000000003
94.5,0.5,2.1415599999999997
95.5,0.5,1.92245
96.5,0.5,1.7981900000000002
97.5,0.5,1.96355
98.5,0.5,1.6587
99.5,0.5,1.3388799999999998
0.5,1.5,1.01336
1.5,1.5,0.87585
2.5,1.5,0.8343
3.5,1.5,0.7543300000000001
4.5,1.5,1.1829100000000001
5.5,1.5,1.20374
6.5,1.5,1.0407899999999999
7.5,1.5,0.9979299999999999
8.5,1.5,1.2709700000000002
9.5,1.5,1.3255700000000001
10.5,1.5,1.25674
11.5,1.5,1.22696
12.5,1.5,0.95642
13.5,1.5,0.70365
14.5,1.5,0.6824600000000001
15.5,1.5,0.82801
16.5,1.5,0.49735
17.5,1.5,0.28547
18.5,1.5,0.19335
19.5,1.5,0.29155
20.5,1.5,0.04967
21.5,1.5,0.1551
22.5,1.5,0.13785
23.5,1.5,-0.15652
24.5,1.5,-0.2653
25.5,1.5,-0.06279
26.5,1.5,0.0514
27.5,1.5,-0.1218
28.5,1.5,-0.02998
29.5,1.5,-0.35622
30.5,1.5,-0.20551
31.5,1.5,-0.19558
32.5,1.5,-0.03286
33.5,1.5,-0.01239
34.5,1.5,-0.25
35.5,1.5,-0.35785
36.5,1.5,-0.37853000000000003
37.5,1.5,-0.24911
38.5,1.5,0.12125
39.5,1.5,0.013080000000000001
40.5,1.5,0.26616
41.5,1.5,0.0018
42.5,1.5,-0.38637
43.5,1.5,-0.31866
44.5,1.5,-0.030430000000000002
45.5,1.5,-0.25475
46.5,1.5,-0.19303
47.5,1.5,0.01034
48.5,1.5,0.49873999999999996
49.5,1.5,0.21315
50.5,1.5,0.32544
